Time,Seconds,Resistance
11:35:19,1,428
11:35:20,2,408
11:35:21,3,412
11:35:22,4,415
11:35:23,5,412
11:35:24,6,411
11:35:25,7,408
11:35:26,8,409
11:35:27,9,409
11:35:28,10,419
11:35:29,11,412
11:35:30,12,414
11:35:31,13,412
11:35:32,14,411
11:35:33,15,412
11:35:34,16,412
11:35:35,17,412
11:35:36,18,412
11:35:37,19,412
11:35:38,20,412
11:35:39,21,412
11:35:40,22,412
11:35:41,23,412
11:35:42,24,412
11:35:43,25,412
11:35:44,26,409
11:35:45,27,411
11:35:46,28,411
11:35:47,29,411
11:35:48,30,408
11:35:49,31,417
11:35:50,32,408
11:35:51,33,419
11:35:52,34,423
11:35:53,35,415
11:35:54,36,412
11:35:55,37,412
11:35:56,38,414
11:35:57,39,428
11:35:58,40,382
11:35:59,41,384
11:36:00,42,408
11:36:01,43,412
11:36:02,44,411
11:36:03,45,409
11:36:04,46,409
11:36:05,47,408
11:36:06,48,408
11:36:07,49,408
11:36:08,50,408
11:36:09,51,408
11:36:10,52,408
11:36:11,53,408
11:36:12,54,408
11:36:13,55,408
11:36:14,56,408
11:36:15,57,407
11:36:16,58,407
11:36:17,59,406
11:36:18,60,406
11:36:19,61,406
11:36:20,62,406
11:36:21,63,405
11:36:22,64,404
11:36:23,65,404
11:36:24,66,404
11:36:25,67,404
11:36:26,68,404
11:36:27,69,404
11:36:28,70,403
11:36:29,71,404
11:36:30,72,403
11:36:31,73,403
11:36:32,74,403
11:36:33,75,403
11:36:34,76,403
11:36:35,77,403
11:36:36,78,403
11:36:37,79,403
11:36:38,80,403
11:36:39,81,403
11:36:40,82,403
11:36:41,83,403
11:36:42,84,403
11:36:43,85,403
11:36:44,86,403
11:36:45,87,403
11:36:46,88,403
11:36:47,89,403
11:36:48,90,403
11:36:49,91,403
11:36:50,92,403
11:36:51,93,403
11:36:52,94,403
11:36:53,95,403
11:36:54,96,403
11:36:55,97,403
11:36:56,98,403
11:36:57,99,403
11:36:58,100,403
11:36:59,101,403
11:37:00,102,403
11:37:01,103,402
11:37:02,104,403
11:37:03,105,403
11:37:04,106,403
11:37:05,107,402
11:37:06,108,401
11:37:07,109,401
11:37:08,110,402
11:37:09,111,401
11:37:10,112,401
11:37:11,113,401
11:37:12,114,401
11:37:13,115,401
11:37:14,116,401
11:37:15,117,401
11:37:16,118,401
11:37:17,119,401
11:37:18,120,401
11:37:19,121,401
11:37:20,122,401
11:37:21,123,401
11:37:22,124,401
11:37:23,125,400
11:37:24,126,401
11:37:25,127,401
11:37:26,128,401
11:37:27,129,400
11:37:28,130,401
11:37:29,131,400
